,SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,AGE_CLIENT,YEARS_EMPLOYED,CNT_FAM_MEMBERS,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,ANNUITY_INCOME%,PAYMENT_RATE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE
212265,345983,Cash loans,M,61.0,1000.67,2.0,Y,Y,225000.0,1710000.0,59566.5,1710000.0,0.26474,0.03483421052631579,Pensioner,Secondary / secondary special,Married,House / apartment
158802,284103,Cash loans,F,39.0,6.33,4.0,N,Y,180000.0,225000.0,17775.0,225000.0,0.09875,0.079,Working,Secondary / secondary special,Married,House / apartment
155869,280677,Cash loans,F,36.0,5.16,3.0,Y,Y,135000.0,225000.0,12334.5,225000.0,0.09136666666666667,0.05482,Working,Higher education,Married,House / apartment
240488,378518,Revolving loans,F,43.0,7.73,1.0,N,N,202500.0,405000.0,20250.0,405000.0,0.1,0.05,Working,Incomplete higher,Widow,House / apartment
280950,425522,Cash loans,F,52.0,2.54,2.0,N,Y,150750.0,247500.0,12766.5,247500.0,0.0846865671641791,0.05158181818181818,Working,Secondary / secondary special,Married,House / apartment
250903,390314,Cash loans,F,59.0,1000.67,2.0,N,Y,229500.0,808650.0,23305.5,675000.0,0.10154901960784314,0.028820255982192542,Pensioner,Secondary / secondary special,Civil marriage,House / apartment
52447,160738,Cash loans,F,32.0,4.89,1.0,Y,N,157500.0,545040.0,26509.5,450000.0,0.16831428571428572,0.04863771466314399,Commercial associate,Higher education,Single / not married,House / apartment
250544,389904,Cash loans,F,30.0,1.91,4.0,N,N,72000.0,254700.0,20119.5,225000.0,0.2794375,0.0789929328621908,Working,Higher education,Married,House / apartment
19940,123258,Revolving loans,F,31.0,2.15,3.0,N,Y,112500.0,202500.0,10125.0,202500.0,0.09,0.05,Commercial associate,Higher education,Married,House / apartment
45587,152796,Cash loans,M,24.0,1.93,1.0,N,N,112500.0,254700.0,27022.5,225000.0,0.2402,0.10609540636042403,Working,Higher education,Single / not married,House / apartment
29620,134391,Cash loans,M,26.0,2.04,1.0,N,Y,157500.0,592560.0,32274.0,450000.0,0.20491428571428572,0.05446537059538275,Working,Secondary / secondary special,Single / not married,House / apartment
215235,349402,Cash loans,F,41.0,0.47,1.0,Y,Y,117000.0,339241.5,12919.5,238500.0,0.11042307692307693,0.03808348919574993,State servant,Secondary / secondary special,Single / not married,House / apartment
83578,196937,Cash loans,F,34.0,10.28,4.0,Y,Y,166500.0,675000.0,28728.0,675000.0,0.17254054054054055,0.04256,Working,Secondary / secondary special,Married,House / apartment
166031,292484,Cash loans,F,36.0,17.42,3.0,Y,N,157500.0,781920.0,39852.0,675000.0,0.25302857142857144,0.05096685082872928,Commercial associate,Secondary / secondary special,Separated,House / apartment
51848,160044,Cash loans,M,44.0,5.87,2.0,N,Y,180000.0,1223010.0,48501.0,1125000.0,0.26945,0.039657075575833395,Working,Secondary / secondary special,Married,House / apartment
33248,138523,Cash loans,F,54.0,21.58,1.0,N,Y,157500.0,651600.0,26289.0,562500.0,0.1669142857142857,0.040345303867403315,Working,Secondary / secondary special,Separated,House / apartment
94618,209865,Cash loans,F,52.0,1000.67,1.0,N,N,130500.0,675000.0,20596.5,675000.0,0.15782758620689655,0.030513333333333333,Pensioner,Secondary / secondary special,Single / not married,House / apartment
170320,297401,Cash loans,F,64.0,1000.67,2.0,N,Y,28350.0,269550.0,11547.0,225000.0,0.4073015873015873,0.042838063439065106,Pensioner,Secondary / secondary special,Married,House / apartment
48155,155773,Cash loans,F,43.0,0.8,2.0,N,Y,180000.0,125640.0,6943.5,90000.0,0.038575,0.0552650429799427,Commercial associate,Secondary / secondary special,Married,Municipal apartment
248058,387025,Cash loans,F,49.0,2.67,2.0,Y,Y,2025000.0,382500.0,14418.0,382500.0,0.00712,0.03769411764705882,Working,Secondary / secondary special,Married,House / apartment
204519,337101,Revolving loans,F,24.0,6.16,2.0,N,N,202500.0,360000.0,18000.0,,0.08888888888888889,0.05,Commercial associate,Higher education,Married,House / apartment
191788,322386,Cash loans,M,31.0,2.83,3.0,N,Y,202500.0,900000.0,35824.5,900000.0,0.1769111111111111,0.039805,Working,Higher education,Married,House / apartment
205582,338300,Cash loans,F,24.0,1.96,1.0,N,Y,180000.0,301500.0,18445.5,301500.0,0.102475,0.06117910447761194,Working,Incomplete higher,Single / not married,House / apartment
241340,379443,Cash loans,M,44.0,1.01,3.0,Y,Y,315000.0,1255680.0,41629.5,1125000.0,0.13215714285714286,0.03315295298165138,Working,Secondary / secondary special,Married,House / apartment
25298,129426,Cash loans,M,31.0,2.04,4.0,Y,N,112500.0,440784.0,34825.5,360000.0,0.30956,0.07900808559294348,Working,Secondary / secondary special,Married,House / apartment
152751,277039,Cash loans,M,47.0,5.18,3.0,Y,Y,315000.0,719946.0,39186.0,643500.0,0.1244,0.05442908218116359,Working,Secondary / secondary special,Married,Municipal apartment
302177,450086,Cash loans,M,32.0,4.55,2.0,Y,N,202500.0,1078200.0,31653.0,900000.0,0.15631111111111112,0.02935726210350584,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment
152368,276602,Cash loans,F,58.0,1000.67,1.0,N,N,135000.0,354276.0,10872.0,292500.0,0.08053333333333333,0.030687938217660807,Pensioner,Secondary / secondary special,Widow,House / apartment
33141,138400,Cash loans,M,43.0,0.59,2.0,N,Y,225000.0,247500.0,13423.5,247500.0,0.05966,0.05423636363636364,Working,Higher education,Married,House / apartment
96007,211463,Cash loans,M,30.0,6.56,3.0,N,N,225000.0,468733.5,30649.5,387000.0,0.13622,0.06538790165413823,Working,Higher education,Married,House / apartment
12581,114666,Cash loans,F,50.0,31.07,2.0,N,Y,67500.0,239850.0,23850.0,225000.0,0.35333333333333333,0.09943714821763602,Working,Secondary / secondary special,Married,House / apartment
21005,124477,Cash loans,F,61.0,1000.67,2.0,N,N,211500.0,1129500.0,31059.0,1129500.0,0.14685106382978724,0.02749800796812749,Pensioner,Secondary / secondary special,Married,House / apartment
56266,165205,Cash loans,F,39.0,15.99,4.0,Y,N,270000.0,562500.0,25546.5,562500.0,0.09461666666666667,0.045416,Working,Higher education,Married,House / apartment
210348,343760,Cash loans,M,39.0,6.14,4.0,Y,N,180000.0,254700.0,27558.0,225000.0,0.1531,0.10819787985865724,Commercial associate,Higher education,Married,House / apartment
35065,140623,Cash loans,F,38.0,0.29,1.0,N,Y,148500.0,167121.0,15457.5,139500.0,0.1040909090909091,0.0924928644515052,State servant,Secondary / secondary special,Single / not married,House / apartment
37390,143311,Cash loans,F,44.0,2.62,2.0,Y,Y,126000.0,343800.0,13090.5,225000.0,0.10389285714285715,0.03807591623036649,Working,Secondary / secondary special,Married,House / apartment
74150,185989,Cash loans,M,59.0,1000.67,2.0,Y,N,112500.0,1125000.0,32895.0,1125000.0,0.2924,0.02924,Pensioner,Secondary / secondary special,Single / not married,House / apartment
170890,298045,Cash loans,F,39.0,12.15,2.0,N,Y,157500.0,685012.5,33084.0,553500.0,0.21005714285714286,0.04829692888815897,Working,Higher education,Married,House / apartment
10481,112205,Cash loans,F,26.0,1.88,3.0,N,Y,90000.0,157500.0,9171.0,157500.0,0.1019,0.05822857142857143,Commercial associate,Higher education,Married,House / apartment
77453,189803,Cash loans,F,31.0,2.12,3.0,N,Y,112500.0,397017.0,24120.0,301500.0,0.2144,0.06075306598961757,Commercial associate,Higher education,Married,House / apartment
208918,342139,Cash loans,F,49.0,8.98,1.0,N,Y,243000.0,270000.0,19332.0,270000.0,0.07955555555555556,0.0716,Commercial associate,Secondary / secondary special,Single / not married,House / apartment
97353,213028,Cash loans,M,46.0,1.37,2.0,N,Y,225000.0,528633.0,25560.0,472500.0,0.1136,0.048351124504145596,Working,Secondary / secondary special,Married,House / apartment
222400,357624,Cash loans,F,49.0,21.98,2.0,N,Y,135000.0,1256400.0,36864.0,900000.0,0.2730666666666667,0.029340974212034385,State servant,Higher education,Married,House / apartment
278487,422659,Cash loans,M,47.0,4.57,2.0,N,N,175500.0,187929.0,13495.5,171000.0,0.0768974358974359,0.07181169484220104,Working,Secondary / secondary special,Married,House / apartment
202539,334791,Cash loans,F,68.0,1000.67,2.0,N,Y,90000.0,239850.0,22671.0,225000.0,0.2519,0.09452157598499061,Pensioner,Secondary / secondary special,Married,House / apartment
285603,430775,Cash loans,F,54.0,5.4,2.0,N,N,45000.0,225000.0,10822.5,225000.0,0.2405,0.0481,Working,Secondary / secondary special,Married,House / apartment
143551,266456,Cash loans,F,46.0,9.41,2.0,N,Y,112500.0,391500.0,14886.0,391500.0,0.13232,0.038022988505747125,Working,Secondary / secondary special,Civil marriage,House / apartment
11022,112836,Cash loans,M,33.0,0.71,2.0,Y,Y,315000.0,1024740.0,52321.5,900000.0,0.1661,0.051058317231688036,Commercial associate,Higher education,Civil marriage,House / apartment
285604,430776,Cash loans,F,34.0,0.32,2.0,N,Y,112500.0,585000.0,42700.5,585000.0,0.37956,0.07299230769230769,Commercial associate,Secondary / secondary special,Married,House / apartment
260187,401108,Cash loans,F,50.0,13.47,2.0,N,Y,202500.0,2013840.0,53253.0,1800000.0,0.26297777777777775,0.026443510904540578,Commercial associate,Secondary / secondary special,Married,House / apartment
143916,266876,Cash loans,M,30.0,0.53,1.0,Y,Y,225000.0,1223010.0,48631.5,1125000.0,0.21614,0.03976377952755906,Commercial associate,Higher education,Single / not married,House / apartment
80295,193089,Cash loans,M,29.0,2.37,2.0,N,N,238500.0,291384.0,30595.5,270000.0,0.12828301886792454,0.10500061774153695,Working,Secondary / secondary special,Civil marriage,House / apartment
22113,125751,Cash loans,F,58.0,1000.67,2.0,N,Y,301500.0,469152.0,24084.0,405000.0,0.07988059701492538,0.051335174953959485,Pensioner,Secondary / secondary special,Married,House / apartment
70914,182248,Cash loans,F,54.0,34.3,2.0,Y,N,121500.0,454500.0,19255.5,454500.0,0.15848148148148147,0.04236633663366337,State servant,Secondary / secondary special,Married,House / apartment
201585,333675,Cash loans,M,55.0,2.75,2.0,N,N,135000.0,775327.5,30748.5,693000.0,0.22776666666666667,0.039658724861429524,Working,Secondary / secondary special,Civil marriage,House / apartment
1831,102143,Cash loans,M,43.0,7.38,2.0,Y,Y,396000.0,1125171.0,48303.0,1035000.0,0.12197727272727273,0.042929474719842584,Commercial associate,Higher education,Married,House / apartment
165614,291986,Cash loans,F,63.0,1000.67,2.0,Y,Y,242550.0,1406880.0,38817.0,1228500.0,0.16003710575139146,0.027590839303991813,Pensioner,Secondary / secondary special,Married,House / apartment
33529,138839,Cash loans,M,62.0,1000.67,2.0,Y,N,103500.0,265851.0,21132.0,229500.0,0.20417391304347826,0.0794881343308846,Pensioner,Secondary / secondary special,Married,House / apartment
41575,148136,Cash loans,M,42.0,5.19,3.0,Y,Y,270000.0,1687266.0,64395.0,1575000.0,0.2385,0.0381652922538592,Working,Secondary / secondary special,Married,House / apartment
240466,378496,Cash loans,F,39.0,15.32,1.0,N,N,270000.0,1687266.0,68719.5,1575000.0,0.25451666666666667,0.04072831432625324,Commercial associate,Higher education,Separated,House / apartment
34175,139605,Cash loans,F,62.0,1000.67,1.0,N,N,76500.0,675000.0,20596.5,675000.0,0.2692352941176471,0.030513333333333333,Pensioner,Higher education,Widow,House / apartment
115004,233353,Revolving loans,F,22.0,2.14,1.0,N,N,112500.0,270000.0,13500.0,270000.0,0.12,0.05,Working,Secondary / secondary special,Single / not married,Rented apartment
8935,110397,Cash loans,F,60.0,1000.67,2.0,N,N,58500.0,247275.0,17208.0,225000.0,0.29415384615384615,0.06959053685168334,Pensioner,Secondary / secondary special,Married,House / apartment
281484,426103,Cash loans,M,54.0,1000.67,2.0,Y,Y,112500.0,1006920.0,42660.0,900000.0,0.3792,0.042366821594565604,Pensioner,Secondary / secondary special,Married,House / apartment
19396,122624,Cash loans,F,55.0,0.44,2.0,N,Y,121500.0,454500.0,20151.0,454500.0,0.16585185185185186,0.044336633663366334,Working,Secondary / secondary special,Married,House / apartment
169263,296180,Cash loans,F,64.0,1000.67,1.0,N,Y,54000.0,127350.0,7438.5,112500.0,0.13775,0.058409893992932865,Pensioner,Secondary / secondary special,Widow,House / apartment
183284,312439,Revolving loans,M,40.0,4.49,3.0,Y,Y,157500.0,135000.0,6750.0,135000.0,0.04285714285714286,0.05,Working,Secondary / secondary special,Married,House / apartment
277705,421750,Cash loans,F,30.0,11.16,2.0,N,Y,256500.0,253377.0,23368.5,211500.0,0.09110526315789473,0.09222818172130856,Working,Secondary / secondary special,Single / not married,House / apartment
179748,308303,Cash loans,F,45.0,2.27,2.0,N,Y,112500.0,531706.5,29817.0,459000.0,0.26504,0.05607793021149826,Working,Secondary / secondary special,Married,House / apartment
145405,268606,Cash loans,M,31.0,2.36,1.0,N,Y,247500.0,388512.0,31279.5,360000.0,0.12638181818181818,0.0805110266864344,Working,Secondary / secondary special,Single / not married,House / apartment
135896,257626,Cash loans,F,44.0,14.07,1.0,Y,N,265500.0,792477.0,21033.0,661500.0,0.07922033898305085,0.026540833361725323,Working,Secondary / secondary special,Single / not married,House / apartment
127461,247821,Revolving loans,F,27.0,5.68,3.0,Y,Y,135000.0,405000.0,20250.0,405000.0,0.15,0.05,Working,Secondary / secondary special,Married,House / apartment
35020,140578,Cash loans,F,54.0,34.59,1.0,N,N,67500.0,501948.0,13369.5,328500.0,0.19806666666666667,0.026635229147242343,Working,Secondary / secondary special,Single / not married,House / apartment
235287,372540,Cash loans,F,66.0,1000.67,2.0,N,Y,87750.0,247275.0,17338.5,225000.0,0.1975897435897436,0.07011828935395814,Pensioner,Secondary / secondary special,Married,House / apartment
187251,317071,Revolving loans,M,65.0,1000.67,2.0,Y,Y,112500.0,135000.0,6750.0,135000.0,0.06,0.05,Pensioner,Secondary / secondary special,Civil marriage,House / apartment
86243,200090,Cash loans,F,29.0,5.23,2.0,Y,N,90000.0,180000.0,17802.0,180000.0,0.1978,0.0989,Working,Secondary / secondary special,Single / not married,With parents
1309,101538,Cash loans,M,33.0,5.12,4.0,N,Y,112500.0,864000.0,25393.5,864000.0,0.22572,0.029390625,Working,Secondary / secondary special,Married,House / apartment
231978,368698,Cash loans,M,40.0,3.0,1.0,Y,Y,49500.0,197820.0,17050.5,180000.0,0.34445454545454546,0.08619199272065514,Working,Secondary / secondary special,Separated,House / apartment
201628,333727,Cash loans,F,35.0,3.88,4.0,Y,Y,229500.0,610335.0,25785.0,463500.0,0.11235294117647059,0.042247290422472904,Working,Secondary / secondary special,Married,House / apartment
79336,191974,Cash loans,F,56.0,9.65,1.0,N,N,225000.0,1006920.0,46791.0,900000.0,0.20796,0.0464694315337862,Working,Higher education,Separated,House / apartment
109282,226743,Cash loans,F,61.0,1000.67,1.0,N,N,72000.0,254700.0,24939.0,225000.0,0.346375,0.09791519434628976,Pensioner,Secondary / secondary special,Single / not married,House / apartment
298914,446285,Cash loans,F,44.0,2.59,2.0,N,Y,135000.0,746626.5,30105.0,567000.0,0.223,0.040321365502028125,Working,Secondary / secondary special,Civil marriage,House / apartment
72546,184126,Revolving loans,F,43.0,14.88,2.0,Y,Y,112500.0,765000.0,38250.0,765000.0,0.34,0.05,Working,Secondary / secondary special,Civil marriage,House / apartment
215003,349136,Cash loans,F,43.0,18.68,3.0,N,Y,54000.0,112068.0,12199.5,99000.0,0.22591666666666665,0.10885801477674269,Working,Secondary / secondary special,Married,House / apartment
46290,153624,Cash loans,F,32.0,0.56,4.0,N,Y,157500.0,651600.0,23535.0,562500.0,0.14942857142857144,0.03611878453038674,Working,Secondary / secondary special,Married,House / apartment
297602,444775,Cash loans,M,43.0,1.81,4.0,Y,N,135000.0,1288350.0,37669.5,1125000.0,0.27903333333333336,0.02923856095005239,Working,Secondary / secondary special,Married,House / apartment
162474,288359,Cash loans,F,28.0,3.61,2.0,N,Y,112500.0,134775.0,10426.5,112500.0,0.09268,0.07736227045075125,Commercial associate,Higher education,Civil marriage,House / apartment
20302,123690,Cash loans,F,41.0,9.7,1.0,Y,N,202500.0,545040.0,17842.5,450000.0,0.08811111111111111,0.03273612945838838,Working,Higher education,Separated,Municipal apartment
22212,125862,Revolving loans,F,31.0,7.56,1.0,N,Y,135000.0,202500.0,10125.0,202500.0,0.075,0.05,Working,Higher education,Single / not married,House / apartment
111852,229764,Cash loans,F,29.0,2.41,2.0,N,Y,157500.0,324000.0,35023.5,324000.0,0.22237142857142858,0.10809722222222222,Working,Secondary / secondary special,Single / not married,House / apartment
120088,239257,Cash loans,F,47.0,2.9,1.0,N,Y,540000.0,1078200.0,31653.0,900000.0,0.058616666666666664,0.02935726210350584,Working,Secondary / secondary special,Widow,House / apartment
83513,196864,Cash loans,F,44.0,5.04,2.0,N,Y,99000.0,977724.0,38182.5,742500.0,0.3856818181818182,0.0390524319746677,Commercial associate,Secondary / secondary special,Married,House / apartment
165219,291527,Cash loans,F,61.0,1000.67,2.0,N,Y,112500.0,688500.0,20259.0,688500.0,0.18008,0.02942483660130719,Pensioner,Secondary / secondary special,Civil marriage,House / apartment
275033,418766,Cash loans,M,35.0,14.2,3.0,Y,N,135000.0,234000.0,15259.5,234000.0,0.11303333333333333,0.06521153846153846,Working,Higher education,Married,House / apartment
107353,224552,Cash loans,F,68.0,1000.67,2.0,N,Y,67500.0,178290.0,17496.0,157500.0,0.2592,0.09813225643614336,Pensioner,Secondary / secondary special,Married,House / apartment
101662,218033,Cash loans,F,60.0,1000.67,2.0,Y,N,90000.0,318645.0,15457.5,216000.0,0.17175,0.048510097443863864,Pensioner,Secondary / secondary special,Married,House / apartment
107857,225127,Cash loans,F,28.0,1.4,3.0,Y,Y,67500.0,101880.0,11623.5,90000.0,0.1722,0.11409010600706714,Working,Secondary / secondary special,Married,House / apartment
1249,101475,Cash loans,F,60.0,1000.67,1.0,N,N,67500.0,95940.0,9472.5,90000.0,0.14033333333333334,0.09873358348968105,Pensioner,Secondary / secondary special,Widow,House / apartment
244261,382719,Cash loans,F,29.0,6.9,3.0,Y,N,157500.0,225000.0,6318.0,225000.0,0.04011428571428571,0.02808,Working,Higher education,Married,House / apartment
139036,261216,Cash loans,F,63.0,1000.67,2.0,N,Y,126000.0,594121.5,25299.0,472500.0,0.2007857142857143,0.042582199095639525,Pensioner,Secondary / secondary special,Married,House / apartment
152061,276251,Cash loans,F,47.0,27.38,2.0,N,Y,202500.0,526500.0,22437.0,526500.0,0.1108,0.04261538461538462,Commercial associate,Secondary / secondary special,Married,House / apartment
90030,204529,Cash loans,F,36.0,0.49,1.0,Y,Y,135000.0,640080.0,29970.0,450000.0,0.222,0.046822272215973,Commercial associate,Secondary / secondary special,Single / not married,House / apartment
284636,429650,Cash loans,F,32.0,2.26,3.0,N,Y,112500.0,314100.0,16573.5,225000.0,0.14732,0.052765042979942695,Commercial associate,Secondary / secondary special,Married,House / apartment
78427,190921,Cash loans,F,37.0,10.75,2.0,Y,Y,135000.0,544491.0,17694.0,454500.0,0.13106666666666666,0.03249640489925453,Working,Higher education,Married,House / apartment
35144,140713,Cash loans,M,23.0,3.8,1.0,Y,N,112500.0,247500.0,13423.5,247500.0,0.11932,0.05423636363636364,Working,Secondary / secondary special,Single / not married,With parents
266171,408331,Cash loans,M,28.0,2.43,2.0,Y,N,180000.0,1350000.0,55116.0,1350000.0,0.3062,0.040826666666666664,Working,Higher education,Married,House / apartment
268462,411110,Cash loans,F,24.0,0.81,2.0,N,N,117000.0,1024740.0,41737.5,900000.0,0.35673076923076924,0.04072984366766204,Working,Higher education,Civil marriage,House / apartment
94758,210031,Cash loans,F,53.0,9.07,2.0,N,N,90000.0,900000.0,26316.0,900000.0,0.2924,0.02924,Commercial associate,Secondary / secondary special,Married,House / apartment
35197,140773,Cash loans,F,55.0,1.47,1.0,N,Y,135000.0,1042560.0,34587.0,900000.0,0.2562,0.03317506906077348,Working,Secondary / secondary special,Separated,House / apartment
118828,237795,Revolving loans,M,33.0,4.26,2.0,Y,Y,112500.0,337500.0,16875.0,337500.0,0.15,0.05,Working,Secondary / secondary special,Civil marriage,House / apartment
62197,172135,Cash loans,M,39.0,12.55,3.0,Y,N,405000.0,640080.0,29970.0,450000.0,0.074,0.046822272215973,Working,Secondary / secondary special,Civil marriage,Rented apartment
185646,315209,Cash loans,M,31.0,2.23,3.0,N,Y,225000.0,545040.0,35617.5,450000.0,0.1583,0.06534841479524439,Commercial associate,Secondary / secondary special,Married,With parents
306992,455672,Cash loans,F,58.0,1000.67,2.0,N,Y,270000.0,900000.0,26316.0,900000.0,0.09746666666666666,0.02924,Pensioner,Higher education,Married,House / apartment
64969,175338,Cash loans,M,43.0,4.56,4.0,Y,Y,112500.0,454500.0,23337.0,454500.0,0.20744,0.051346534653465344,Commercial associate,Secondary / secondary special,Married,House / apartment
149528,273362,Cash loans,M,57.0,2.49,1.0,N,Y,45000.0,327024.0,12456.0,270000.0,0.2768,0.038088947600176136,Working,Secondary / secondary special,Single / not married,House / apartment
58504,167812,Cash loans,M,56.0,4.72,1.0,Y,Y,99000.0,117162.0,11718.0,103500.0,0.11836363636363637,0.10001536334306345,Working,Secondary / secondary special,Separated,House / apartment
137067,258972,Revolving loans,F,59.0,1000.67,2.0,N,N,112500.0,247500.0,12375.0,247500.0,0.11,0.05,Pensioner,Higher education,Married,House / apartment
